,Name,Address,City,Zip,State
30,40 Perimeter Center E,40 Perimeter Center E,Atlanta,30338,Georgia
31,4165 Ben Hill Rd,4165 Ben Hill Rd,Atlanta,30349,Georgia
32,450 Interstate North Parkway,450 Interstate North Parkway,Atlanta,30339,Georgia
33,470 East Paces Ferry Road,470 East Paces Ferry Road,Atlanta,30327,Georgia
34,4764 Bakers Ferry Rd SW,4764 Bakers Ferry Rd SW,Atlanta,30336,Georgia
35,55 Marietta St,55 Marietta St,Atlanta,30303,Georgia
36,55 Marietta Street,55 Marietta Street,Atlanta,30303,Georgia
37,56 Marietta Street (ATL13),56 Marietta Street,Atlanta,30303,Georgia
38,56 Marietta Street NW,56 Marietta Street NW,Atlanta,30305,Georgia
39,"56 Marietta is a 160,000 square foot fully-dedicated interconnect data center and colocation facility and is home to the Southeast's largest concentration of telecommunications connectivity.",250 Williams Street NW,Atlanta,30303,Georgia
40,6855 Cresecent Drive,6855 Cresecent Drive,Atlanta,30340,Georgia
41,760 Doug Davis Dr,760 Doug Davis Dr,Atlanta,30354,Georgia
42,"A proposed 2.255 million sq ft, seven-building data center campus located in Winston, Georgia, southwest of Atlanta, developed by Trammell Crow Company.",34 Peachtree St.,Atlanta,30303,Georgia
43,ATL4 a single-tenant data center located less than 30 minutes from downtown Atlanta. The site is backed by an adjacent Georgia Power substation and will deliver 40MW of critical IT load.,180 Peachtree Street,Atlanta,30303,Georgia
44,"ATL5 is DataBank’s first facility deployed on the new Lithia Springs Campus, providing a state-of-the-art facility with ample power and cooling for the most demanding workloads.",1800 Tilford Yard,Atlanta,30318,Georgia
45,Atlanta Data Center,55 Marietta St NW,Atlanta,30303,Georgia
46,"Atlanta's other carrier hotel and data center. Wholesale data center building located in the heart of Atlanta, GA. Space delivered in a powered shell condition. Build-to-suit improvements available.",345 Courtland St. NE,Atlanta,30308,Georgia
47,"Bolingbroke Technology Center is a planned 900-acre data center campus in Monroe County, Georgia, designed to support large-scale digital infrastructure.",2374 Fairburn Road Southwest,Atlanta,30303,Georgia
48,Cogent Data Center - Atlanta 2,1190 Allene Ave SW,Atlanta,30310,Georgia
49,"Colo@55 in Atlanta, GA, USA. Downtown Atlanta datacenter with rich bandwidth mix and fully redundant infrastructure.",1593 NE Expressway,Atlanta,30329,Georgia
50,Coloblox Marietta Data Center,2812 Spring Rd SE,Atlanta,30339,Georgia
51,CoreSite Atlanta (AT1),55 Marietta Street NW,Atlanta,30303,Georgia
52,CoreSite's Atlanta AT1 data center facility is in the heart of downtown. This strategic location serves as a vital hub for businesses to deploy their IT infrastructure.,1150 White St SW,Atlanta,30310,Georgia
53,"Cyxtera Technologies combines a worldwide footprint of 50+ best-in-class data centers with a portfolio of modern, cloud- and hybrid-ready security and analytics offerings.",250 Williams Street,Atlanta,30303,Georgia
54,DataBank ATL2 - Atlanta West End,1100 White St SW,Atlanta,30310,Georgia
55,"Easily accessible and conveniently located in the emerging data center cluster of Lithia Springs, T5@Atlanta sits 20 minutes from Atlanta’s Hartsfield-Jackson International Airport and just 20 minutes west of downtown Atlanta, with easy access to local freeways.",34 Peachtree Street,Atlanta,30303,Georgia
56,EdgeConneX Atlanta - ATL01,1003 Donnelly Ave SW,Atlanta,30310,Georgia
57,"EdgeConneX Atlanta Edge Data Center - Space, Power & Connectivity. Where you ASK for it.",55 Marietta St NW,Atlanta,30303,Georgia
58,"EdgeConneX Atlanta Edge Data Center - Space, Power & Connectivity. Where you ASK for it.",760 W Peachtree St NW,Atlanta,30308,Georgia
59,"Grind Capital Group has secured zoning approval to develop a 108MW data center campus in Marietta, Georgia, just northwest of Atlanta.",953 Donnelly Ave SW,Atlanta,30310,Georgia
60,Hivelocity - Atlanta 2,250 Williams Street NW,Atlanta,30303,Georgia
61,"Located in Alpharetta, a growing technology hub, this 7MW facility boasts close proximity to several major Fortune 500 companies in Atlanta.",1025 Jefferson Street NW,Atlanta,30318,Georgia
62,Lumen Atlanta,345 Courtland St NE,Atlanta,30308,Georgia
63,Lumen Atlanta 2,"180 Peachtree St., N.W.",Atlanta,30303,Georgia
64,Lumen Atlanta 6,874 Dekalb Avenue,Atlanta,30307,Georgia
65,Microsoft East Point (ATL06),4165 Ben Hill Rd,Atlanta,30349,Georgia
66,Microsoft East Point (ATL07),4165 Ben Hill Rd,Atlanta,30349,Georgia
67,"Mission-Critical, SAS 70 Type-II, Tier 4, Carrier Neutral Data Center",55 Marietta Street,Atlanta,30303,Georgia
68,Performive Atlanta Data Center 1,55 Marietta,Atlanta,30303,Georgia
